time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
5.133934932828879e-005	-4.686987e-002	1.926871e-005
5.426903682828880e-005	-4.947471e-002	1.921948e-005
5.719872432828880e-005	-5.206034e-002	1.917638e-005
6.012841182828880e-005	-5.462607e-002	1.913822e-005
6.598778682828881e-005	-5.969495e-002	1.907325e-005
7.184716182828881e-005	-6.467541e-002	1.901920e-005
8.063622432828882e-005	-7.196690e-002	1.895109e-005
8.942528682828883e-005	-7.902474e-002	1.889203e-005
1.011440368282888e-004	-8.803577e-002	1.881944e-005
1.187221618282889e-004	-1.005983e-001	1.871018e-005
1.392299743282889e-004	-1.136167e-001	1.855983e-005
1.597377868282889e-004	-1.246268e-001	1.833311e-005
1.773159118282889e-004	-1.323334e-001	1.797128e-005
1.919643493282889e-004	-1.375114e-001	1.740040e-005
2.007534118282889e-004	-1.400718e-001	1.683310e-005
2.095424743282889e-004	-1.422230e-001	1.599056e-005
2.154018493282889e-004	-1.434305e-001	1.523222e-005
2.241909118282889e-004	-1.449027e-001	1.380624e-005
2.329799743282889e-004	-1.459676e-001	1.223225e-005
2.388393493282890e-004	-1.464494e-001	1.129806e-005
2.417690368282890e-004	-1.466210e-001	1.091379e-005
2.446987243282889e-004	-1.467459e-001	1.060262e-005
2.476284118282889e-004	-1.468234e-001	1.037493e-005
2.505580993282889e-004	-1.468529e-001	1.023848e-005
2.534877868282889e-004	-1.468338e-001	1.019855e-005
2.564174743282889e-004	-1.467652e-001	1.025789e-005
2.593471618282889e-004	-1.466463e-001	1.041667e-005
2.622768493282889e-004	-1.464761e-001	1.067209e-005
2.652065368282889e-004	-1.462537e-001	1.101795e-005
2.681362243282890e-004	-1.459782e-001	1.144417e-005
2.739955993282890e-004	-1.452647e-001	1.247741e-005
2.827846618282890e-004	-1.437777e-001	1.418209e-005
2.886440368282890e-004	-1.425048e-001	1.520093e-005
2.945034118282890e-004	-1.410080e-001	1.602756e-005
3.003627868282890e-004	-1.392918e-001	1.665753e-005
3.091518493282890e-004	-1.363215e-001	1.730906e-005
3.208705993282890e-004	-1.316632e-001	1.782626e-005
3.355190368282890e-004	-1.248026e-001	1.817510e-005
3.560268493282890e-004	-1.134577e-001	1.841693e-005
3.765346618282890e-004	-1.002861e-001	1.855590e-005
3.941127868282891e-004	-8.766328e-002	1.865194e-005
4.058315368282891e-004	-7.863678e-002	1.871585e-005
4.146205993282891e-004	-7.158005e-002	1.876875e-005
4.234096618282891e-004	-6.430185e-002	1.883110e-005
4.292690368282891e-004	-5.933816e-002	1.888156e-005
4.351284118282891e-004	-5.429367e-002	1.894310e-005
4.380580993282891e-004	-5.174351e-002	1.897959e-005
4.409877868282891e-004	-4.917606e-002	1.902103e-005
4.439174743282891e-004	-4.659236e-002	1.906856e-005
4.468471618282891e-004	-4.399350e-002	1.912361e-005
4.497768493282891e-004	-4.138061e-002	1.918802e-005
4.527065368282891e-004	-3.875491e-002	1.926421e-005
4.556362243282891e-004	-3.611770e-002	1.935533e-005
