temperature	V(n005)	V(n006)
1.111999999999912e+002	3.349816e-001	2.600986e-001
1.110999999999912e+002	3.348944e-001	2.603632e-001
1.109999999999911e+002	3.348073e-001	2.606277e-001
1.108999999999911e+002	3.347202e-001	2.608922e-001
1.107999999999911e+002	3.346330e-001	2.611567e-001
1.106999999999911e+002	3.345459e-001	2.614212e-001
1.105999999999910e+002	3.344587e-001	2.616857e-001
1.104999999999910e+002	3.343716e-001	2.619502e-001
1.103999999999910e+002	3.342844e-001	2.622146e-001
1.102999999999910e+002	3.341973e-001	2.624791e-001
1.101999999999910e+002	3.341101e-001	2.627435e-001
1.100999999999909e+002	3.340229e-001	2.630080e-001
1.099999999999909e+002	3.339358e-001	2.632724e-001
1.098999999999909e+002	3.338486e-001	2.635368e-001
1.097999999999909e+002	3.337614e-001	2.638012e-001
1.096999999999908e+002	3.336743e-001	2.640657e-001
1.095999999999908e+002	3.335871e-001	2.643300e-001
1.094999999999908e+002	3.334999e-001	2.645944e-001
1.093999999999908e+002	3.334127e-001	2.648588e-001
1.092999999999908e+002	3.333256e-001	2.651232e-001
1.091999999999907e+002	3.332384e-001	2.653875e-001
1.090999999999907e+002	3.331512e-001	2.656519e-001
1.089999999999907e+002	3.330640e-001	2.659162e-001
1.088999999999907e+002	3.329768e-001	2.661806e-001
1.087999999999906e+002	3.328896e-001	2.664449e-001
1.086999999999906e+002	3.328025e-001	2.667092e-001
1.085999999999906e+002	3.327153e-001	2.669735e-001
1.084999999999906e+002	3.326281e-001	2.672378e-001
1.083999999999905e+002	3.325409e-001	2.675021e-001
1.082999999999905e+002	3.324537e-001	2.677664e-001
1.081999999999905e+002	3.323665e-001	2.680307e-001
1.080999999999905e+002	3.322793e-001	2.682950e-001
1.079999999999905e+002	3.321921e-001	2.685592e-001
1.078999999999904e+002	3.321049e-001	2.688234e-001
1.077999999999904e+002	3.320177e-001	2.690877e-001
1.076999999999904e+002	3.319305e-001	2.693519e-001
1.075999999999904e+002	3.318433e-001	2.696162e-001
1.074999999999903e+002	3.317561e-001	2.698804e-001
1.073999999999903e+002	3.316689e-001	2.701446e-001
1.072999999999903e+002	3.315817e-001	2.704087e-001
1.071999999999903e+002	3.314944e-001	2.706729e-001
1.070999999999903e+002	3.314072e-001	2.709371e-001
1.069999999999902e+002	3.313200e-001	2.712013e-001
1.068999999999902e+002	3.312328e-001	2.714655e-001
1.067999999999902e+002	3.311456e-001	2.717296e-001
1.066999999999902e+002	3.310583e-001	2.719937e-001
1.065999999999901e+002	3.309711e-001	2.722579e-001
1.064999999999901e+002	3.308839e-001	2.725220e-001
1.063999999999901e+002	3.307967e-001	2.727861e-001
1.062999999999901e+002	3.307094e-001	2.730502e-001
1.061999999999900e+002	3.306222e-001	2.733143e-001
1.060999999999900e+002	3.305350e-001	2.735784e-001
1.059999999999900e+002	3.304477e-001	2.738425e-001
